กก	gok
ฟิสิก	fi.sik
ฟิ่ว	fiu
ฟืน	fʉ:n
ฟุดบาด	fut.ba:t
ฟู	fu:
ฟ้ง	foŋ
ฟ้า	fa:
ฟ้าผ่า	fa:.pha:
ฟ้าว	fa:o
มกกะลาคม	mok.ga.la:.khom
มวนอากาด	mu:an.a:.ga:t
มอ	mɔ:
มอบ	mɔ:p
มอเตอไซ	mɔ:.tə:.sai
มะละกอ	ma.la.gɔ:
มะเล็ด	ma.let
มะเล็ดพัน	ma.let.phan
มะโล่งโจ่งเจ่ง	ma.lo:ŋ.jo:ŋ.je:ŋ
มัก	mak
มัด	mat
มัน	man
มัว	mu:a
มั่วซั่ว	mu:a.su:a
มา	ma:
มากกว่า	ma:k.gwa:
มากมาย	ma:k.ma:i
มาละย้าด	ma:.la.ya:t
มิด	mit
มิดซิด	mit.sit
มิถุนาย๊น	mi.thu.na:.yon
มี	mi:
มีด	mi:t
มีดโกน	mi:t.go:n
มีดโกนหนวด	mi:t.go:n.nu:at
มีนา	mi:.na:
มีนาคม	mi:.na:.khom
มีแฮง	mi:.hɛ:ŋ
มึง	mʉŋ
มึน	mʉn
มืด	mʉ:t
มืน	mʉ:n
มือ	mʉ:
มื้อ	mʉ:
มื้อก่อน	mʉ:.gɔ:n
มื้อคืน	mʉ:.khʉ:n
มื้อนี้	mʉ:.ni:
มื้อวาน	mʉ:.wa:n
